,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL,D_Profit,W_Profit
49,angrybirds,The Angry Birds Movie,17,sony,2016-05-20,119.0,3932.0,38155177.0,3932.0,73000000,107509366,347118767,239609401,Animation,97.0,,,,0,,34509366,274118767
50,moneymonster,Money Monster,50,tristar,2016-05-13,84.0,3104.0,14788157.0,3104.0,27000000,41012075,93469699,52457624,Drama / Thriller,95.0,['Jodie Foster'],,,0,,14012075,66469699
51,marvel2016,Captain America: Civil War,2,buenavista,2016-05-06,140.0,4226.0,179139142.0,4226.0,250000000,408084349,1151684349,743600000,Action / Adventure,147.0,,['Kevin Feige'],['Henry Jackman'],0,,158084349,901684349
52,keanu,Keanu,73,wb-newline,2016-04-29,63.0,2658.0,9453224.0,2681.0,15000000,20591853,20609977,18124,Comedy,98.0,,,,0,,5591853,5609977
53,compadres,Compadres,128,pantelion,2016-04-22,35.0,368.0,1397434.0,368.0,3000000,3127773,7445044,4317271,Action,101.0,,,,0,,127773,4445044
54,huntsman,The Huntsman: Winter's War,43,universal,2016-04-22,56.0,3791.0,19445035.0,3802.0,115000000,48003015,164602163,116599148,Action / Adventure,114.0,['Cedric Nicolas-Troyan'],['Joe Roth'],['James Newton Howard'],0,,-66996985,49602163
55,junglebook2015,The Jungle Book (2016),4,buenavista,2016-04-15,168.0,4028.0,103261464.0,4144.0,175000000,364001123,963901123,599900000,Adventure,105.0,['Jon Favreau'],,['John Debney'],0,,189001123,788901123
56,barbershop3,Barbershop: The Next Cut,41,wb-newline,2016-04-15,91.0,2661.0,20242415.0,2676.0,20000000,54030051,54402054,372003,Comedy,112.0,['Malcolm D. Lee'],,,0,,34030051,34402054
57,greenroom,Green Room,126,a24,2016-04-15,91.0,3.0,87984.0,777.0,5000000,3220371,3807503,587132,Thriller,94.0,['Jeremy Saulnier'],,,0,,-1779629,-1192497
58,criminal2015,Criminal (2016),84,lionsgatesummit,2016-04-15,42.0,2683.0,5767278.0,2683.0,31500000,14708696,36123895,21415199,Action,113.0,,,,0,,-16791304,4623895
