,budgetListIDX,budgetListName,bLnameLength,MvName,mvNameLength,maxFuzzRatioIDX,maxFuzzRatio,maxFuzzSetRatioIDX,maxFuzzSetRatio,budgetListMvReleaseYR,MvReleaseYR
139,139,Chiamatemi Francesco - Il papa della gente,42,Christmas with the Kranks,25,8785,45,7378,49,2015,2004.0
140,140,Escaping the Holocost,21,The Escapist,12,3728,61,4879,73,2015,2009.0
141,141,Julija in alfa Romeo,20,Romeo and Juliet (2013),23,12862,57,2138,63,2015,2013.0
142,142,The Crow,8,The Crow: City of Angels,24,11242,100,10718,100,2015,1996.0
143,143,Bitter Harvest,14,Harvest,7,10862,69,3759,100,2015,2011.0
144,144,Sardaar Ji,10,Son of Sardaar,14,783,63,2847,82,2015,2012.0
145,145,Unnatural,9,Unnatural and Accidental,24,8443,63,6740,100,2015,2006.0
146,146,AWOL-72,7,Wolf,4,4950,46,11237,55,2015,1994.0
147,147,"Don Gato, el inicio de la pandilla",34,Don,3,5407,51,6390,100,2015,2006.0
148,148,Rodeo Girl,10,Girl Model,10,1247,74,3110,80,2015,2012.0
149,149,Good Ol' Boy,12,Good,4,7963,76,5411,100,2015,2008.0
150,150,Henry Joseph Church,19,Henry V,7,3632,56,12526,83,2015,1989.0
151,151,Karachi se Lahore,17,Love and Air Sex,16,2409,65,1856,61,2015,2014.0
152,152,The Veil,8,The Painted Veil,16,10217,80,6346,100,2015,2006.0
153,153,"To Be Frank, Sinatra at 100",27,Frank,5,8109,55,1469,100,2015,2014.0
154,154,San cheng ji,12,Changing Lanes,14,4956,57,8436,62,2015,2002.0
155,155,Wind Walkers,12,Wind,4,8455,87,11847,100,2015,1992.0
156,156,Anomalisa,9,Anomalisa,9,683,100,683,100,2015,2015.0
157,157,Concussion,10,Concussion (2015),17,2354,100,602,100,2015,2015.0
158,158,Joy,3,Joy,3,579,100,579,100,2015,2015.0
159,159,The Hateful Eight,17,The Hateful Eight,17,581,100,581,100,2015,2015.0
160,160,Daddy’s Home,12,Daddy's Home,12,549,92,549,100,2015,2015.0
161,161,Point Break,11,Point Break (2015),18,11999,100,612,100,2015,2015.0
162,162,The Revenant,12,The Revenant,12,540,100,540,100,2015,2015.0
163,163,The Brain That Wouldn't Die,27,The 33,6,13629,60,650,67,2015,2015.0
164,164,Por amor en el caserio,22,El Crimen del Padre Amaro,25,6362,55,8562,64,2015,2002.0
165,165,Sisters,7,Sisters,7,561,100,561,100,2015,2015.0
166,166,Alvin and the Chipmunks: The Road Chip,38,Alvin and the Chipmunks: The Road Chip,38,562,100,562,100,2015,2015.0
167,167,Star Wars Ep. VII: The Force Awakens,36,Star Wars: The Force Awakens,28,528,88,528,100,2015,2015.0
168,168,The Ridiculous 6,16,The 33,6,1401,62,650,67,2015,2015.0
169,169,Close Range,11,At Close Range,14,13313,88,13313,100,2015,1986.0
170,170,American Hero,13,Hero,4,11692,89,7397,100,2015,2004.0
171,171,In the Heart of the Sea,23,In the Heart of the Sea,23,622,100,622,100,2015,2015.0
172,172,The Big Short,13,The Big Short,13,571,100,571,100,2015,2015.0
173,173,Amidst the Devil's Wings,24,Devil,5,6694,63,3975,100,2015,2010.0
174,174,Krampus,7,Krampus,7,594,100,594,100,2015,2015.0
175,175,Brooklyn Bizarre,16,Brooklyn,8,2913,71,597,100,2015,2015.0
176,176,Shark Lake,10,Shark Tale,10,7350,80,7350,80,2015,2004.0
177,177,Dutch Kills,11,Dutch,5,2071,67,12096,100,2015,1991.0
178,178,Grace of Monaco,15,Days of Grace,13,4653,71,1178,76,2015,2015.0
179,179,The Good Dinosaur,17,The Good Dinosaur,17,553,100,553,100,2015,2015.0
180,180,Creed,5,Creed,5,556,100,556,100,2015,2015.0
181,181,Victor Frankenstein,19,Victor,6,673,100,278,100,2015,2016.0
182,182,The Night Before,16,The Night Before,16,593,100,593,100,2015,2015.0
183,183,Legend,6,The Legend of Tarzan,20,714,100,14,100,2015,2016.0
184,184,#Horror,7,Snoop Dogg's Hood of Horror,27,3417,57,6015,100,2015,2007.0
185,185,Secret in Their Eyes,20,The Secret in their Eyes (2015),31,4033,91,628,100,2015,2015.0
186,186,Criminal Activities,19,Criminal,8,4454,63,7564,100,2015,2004.0
187,187,Siakh lokhamim: ha'slilim ha'gnouzim,36,I'm Going Home,14,9906,44,8718,48,2015,2002.0
188,188,The Hunger Games: Mockingjay - Part 2,37,The Hunger Games: Mockingjay - Part 2,37,534,100,534,100,2015,2015.0
189,189,The 33,6,The 33,6,650,100,650,100,2015,2015.0
190,190,My All-American,15,My All American,15,707,93,707,100,2015,2015.0
191,191,Heist,5,Heist (2015),12,8968,100,964,100,2015,2015.0
192,192,By the Sea,10,By the Sea,10,780,100,780,100,2015,2015.0
193,193,Love the Coopers,16,Love the Coopers,16,619,100,619,100,2015,2015.0
194,194,10 Days in a Madhouse,21,10 Days in a Madhouse,21,1074,100,1074,100,2015,2015.0
195,195,The Little Ponderosa Zoo,24,Zoo,3,1838,71,5952,100,2015,2007.0
196,196,Perfect Cowboy,14,Perfect,7,486,67,13448,100,2015,1985.0
