,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL
58,criminal2015,Criminal (2016),84,lionsgatesummit,2016-04-15,42.0,2683.0,5767278.0,2683.0,268581600.0,125412225.5744,308006778.32799995,182594552.75359994,Action,113.0,,,,0,
59,michelledarnell,The Boss,33,universal,2016-04-08,70.0,3480.0,23586645.0,3495.0,247265600.0,537824507.584,664847822.0175999,127023314.43359995,Comedy,99.0,['Ben Falcone'],,,0,
60,meettheblacks,Meet the Blacks,98,fs,2016-04-01,82.0,1015.0,4055940.0,1015.0,7673760.0,77565274.70079999,77565274.70079999,0.0,Comedy,93.0,,,,0,
61,smoker,Everybody Wants Some!!,121,paramount,2016-03-30,51.0,19.0,312355.0,454.0,85264000.0,28992130.339199997,39295235.992,10303105.652800001,Comedy,117.0,['Richard Linklater'],,,0,
62,superman2015,Batman v Superman: Dawn of Justice,7,warnerbros,2016-03-25,84.0,4242.0,166007347.0,4256.0,2131600000.0,2816783158.1216,7402281078.1216,4585497920.0,Action / Adventure,151.0,['Zack Snyder'],,,0,
63,mybigfatgreekwedding2,My Big Fat Greek Wedding 2,36,universal,2016-03-25,63.0,3133.0,17861950.0,3179.0,153475200.0,508937448.07199997,781460572.5791999,272523124.50719994,Comedy,94.0,['Kirk Jones'],,,0,
64,midnightspecial,Midnight Special,120,warnerbros,2016-03-18,70.0,5.0,190012.0,521.0,153475200.0,31652401.244799998,58330313.1488,26677911.904000003,Sci-Fi,111.0,['Jeff Nichols'],,,0,
65,allegiant,The Divergent Series: Allegiant,30,lionsgatesummit,2016-03-18,77.0,3740.0,29027348.0,3740.0,937904000.0,564311692.4463999,1462141612.4464,897829920.0,Action / Adventure,121.0,['Robert Schwentke'],,,0,
66,miraclesfromheaven,Miracles from Heaven,35,tristar,2016-03-16,128.0,3047.0,14812393.0,3155.0,110843200.0,526122560.74719995,628791245.2752,102668684.52800006,Drama,109.0,['Patricia Riggen'],,,0,
67,badrobot2016,10 Cloverfield Lane,28,paramount,2016-03-11,84.0,3391.0,24727437.0,3427.0,42632000.0,614608482.6736,908769282.6736,294160800.0,Thriller,105.0,['Dan Trachtenberg'],['J.J. Abrams'],,0,
68,grimsby,The Brothers Grimsby,102,sony,2016-03-11,35.0,2235.0,3258327.0,2235.0,298424000.0,58525346.02239999,245120221.3376,186594875.3152,Comedy,83.0,['Louis Leterrier'],,,0,
69,christthelord,The Young Messiah,103,focus,2016-03-11,42.0,1761.0,3294876.0,1769.0,143243520.0,55164213.563200004,61014637.0288,5850423.465599999,Historical Drama,111.0,,,,0,
70,eyeinthesky,Eye in the Sky,77,bleeckerstreet,2016-03-11,133.0,5.0,113803.0,1089.0,110843200.0,159482867.3344,280076764.584,120593897.2496,Drama / Thriller,102.0,['Gavin Hood'],,,0,
71,creativecontrol,Creative Control,296,magnolia,2016-03-11,49.0,3.0,6964.0,72.0,8526400.0,537282.5696,537282.5696,0.0,Drama,97.0,,,,0,
72,theperfectmatch,The Perfect Match,95,lionsgate,2016-03-11,49.0,925.0,4294232.0,925.0,42632000.0,82446203.8544,82446203.8544,0.0,Romantic Comedy,96.0,['Bille Woodruff'],,,0,
73,untitledtinafeycomedy,Whiskey Tango Foxtrot,69,paramount,2016-03-04,56.0,2374.0,7450275.0,2413.0,298424000.0,196817739.0176,212211369.7888,15393630.771200001,Comedy,112.0,,,,0,
74,theywillhavetokillusfirst,They Will Have to Kill Us First,469,bbcworldwide,2016-03-04,10.0,2.0,4106.0,2.0,5115840.0,0.0,67725.19519999999,67725.19519999999,Documentary,105.0,,,,0,
75,disney2016,Zootopia,6,buenavista,2016-03-04,154.0,3827.0,75063401.0,3959.0,1278960000.0,2909789589.7472,8712004789.7472,5802215200.0,Animation,108.0,,,['Michael Giacchino'],0,
76,londonhasfallen,London Has Fallen,34,focus,2016-03-04,91.0,3490.0,21635601.0,3492.0,511584000.0,533106850.4639999,1652910527.1967998,1119803676.7327998,Action,99.0,,['Peter Schlessel'],,0,
77,godsofegypt,Gods of Egypt,58,lionsgatesummit,2016-02-26,77.0,3117.0,14123903.0,3117.0,1193696000.0,265626895.44959998,1138730255.4496,873103360.0,Action / Adventure,127.0,['Alex Proyas'],,,0,
78,eddietheeagle,Eddie the Eagle,82,fox,2016-02-26,91.0,2042.0,6084682.0,2044.0,196107200.0,134626646.36959997,367877172.47679996,233250526.1072,Drama,105.0,['Dexter Fletcher'],,,0,
79,triplenine,Triple 9,88,openroads,2016-02-26,49.0,2205.0,6109085.0,2205.0,170528000.0,107767701.9408,199435736.03199998,91668034.09119998,Thriller,115.0,['John Hillcoat'],,,0,
80,risen,Risen,52,sony,2016-02-19,91.0,2915.0,11801271.0,2915.0,170528000.0,314453913.37119997,393662788.0944,79208874.72320002,Action / Adventure,107.0,['Kevin Reynolds'],,,0,
81,thewitch,The Witch,67,a24,2016-02-19,98.0,2046.0,8800230.0,2204.0,29842400.0,214342654.31199998,344931419.32799995,130588765.01599997,Horror,92.0,,,,0,
82,race2016,Race (2016),75,focus,2016-02-19,63.0,2369.0,7353922.0,2387.0,42632000.0,162983764.5424,189099565.0,26115800.457599998,Drama,134.0,['Stephen Hopkins'],,,0,
83,deadpool2016,Deadpool,5,fox,2016-02-12,126.0,3558.0,132434639.0,3856.0,494531200.0,3095686093.2176,6682742573.217599,3587056479.999999,Action,106.0,['Tim Miller'],,['Junkie XL'],0,
84,howtobesingle,How to Be Single,45,wb-newline,2016-02-12,63.0,3343.0,17878911.0,3357.0,315476800.0,399406529.2432,849194754.6048,449788225.3616,Romantic Comedy,110.0,,,,0,
85,zoolander2,Zoolander 2,60,paramount,2016-02-12,49.0,3394.0,13841146.0,3418.0,426320000.0,245975495.9952,471925095.9952,225949599.99999997,Comedy,100.0,['Ben Stiller'],,,0,
86,thelittleprince,The Little Prince,151,entertainmentone,2016-02-12,122.0,52.0,116927.0,163.0,660796000.0,11179926.5232,774152825.352,762972898.8288,Animation,108.0,,,,0,
87,prideprejudicezombies,Pride and Prejudice and Zombies,92,screengems,2016-02-05,24.0,2931.0,5324240.0,2931.0,238739200.0,92999925.9824,139076966.744,46077040.76159999,Comedy,108.0,['Burr Steers'],['Natalie Portman'],,0,
88,hailcaesar,"Hail, Caesar!",59,universal,2016-02-05,49.0,2232.0,11355225.0,2248.0,187580800.0,256476030.44,546230813.24,289754782.8,Comedy,100.0,,,['Carter Burwell'],0,
89,janegotagun,Jane Got a Gun,148,weinsteincompany,2016-01-29,28.0,1210.0,835572.0,1210.0,213160000.0,12907204.635199998,25256705.972799998,12349501.3376,Western,98.0,"[""Gavin O'Connor""]",['Natalie Portman'],,0,
90,kungfupanda3,Kung Fu Panda 3,12,fox,2016-01-29,175.0,3955.0,41282042.0,3987.0,1193696000.0,1223782417.0416,4422035057.0416,3198252640.0,Animation,95.0,,,['Hans Zimmer'],0,
91,fiftyshadesofblack,Fifty Shades of Black,90,openroads,2016-01-29,56.0,2075.0,5900528.0,2075.0,42632000.0,99647525.21599999,177051403.6912,77403878.4752,Comedy,92.0,['Michael Tiddes'],,,0,
92,finesthours,The Finest Hours,61,buenavista,2016-01-29,70.0,3143.0,10288932.0,3143.0,596848000.0,235069079.3312,410949049.4528,175879970.12159997,Thriller,109.0,['Craig Gillespie'],,['Carter Burwell'],0,
93,monsterhunt,Monster Hunt,359,filmrise,2016-01-22,7.0,45.0,21074.0,45.0,477478400.0,279376.0224,3292009445.984,3291730069.9616003,Action Fantasy,111.0,,,,0,
94,boy2016,The Boy (2016),54,stx,2016-01-22,70.0,2671.0,10778392.0,2671.0,85264000.0,305411862.2784,581679125.1328,276267262.8544,Horror,98.0,['William Brent Bell'],,,0,
95,dirtygrandpa,Dirty Grandpa,55,lionsgate,2016-01-22,56.0,2912.0,11111875.0,2912.0,98053600.0,303481118.6832,852045385.9168,548564267.2336,Comedy,102.0,,,,0,
96,ipman3,Ip Man 3,132,wellgo,2016-01-22,38.0,103.0,784839.0,115.0,306950400.0,22845951.6368,1337239623.7008,1314393672.064,Action,105.0,,,,0,
97,5thwave,The 5th Wave,56,sony,2016-01-22,122.0,2908.0,10326356.0,2908.0,324003200.0,297682049.7248,943690321.9904,646008272.2656,Sci-Fi Action,112.0,,,['Henry Jackman'],0,
98,normofthenorth,Norm of the North,80,lionsgate,2016-01-15,63.0,2411.0,6844137.0,2411.0,153475200.0,145481691.4736,233845992.83040002,88364301.35680002,Animation,90.0,,,,0,
99,ridealong2,Ride Along 2,22,universal,2016-01-15,84.0,3175.0,35243095.0,3192.0,341056000.0,774731597.384,1059372390.4128,284640793.0288,Action Comedy,101.0,['Tim Story'],,,0,
100,13hoursthesecretsoldiersofbenghazi,13 Hours: The Secret Soldiers of Benghazi,42,paramount,2016-01-15,70.0,2389.0,16194738.0,2917.0,426320000.0,450647686.4816,580248966.4815999,129601279.99999994,Drama,144.0,['Michael Bay'],,,0,
101,themaskedsaint,The Masked Saint,224,fs,2016-01-08,14.0,482.0,123839.0,482.0,29842400.0,1557730.648,1557730.648,0.0,Drama,105.0,,,,0,
102,forest,The Forest,64,focus,2016-01-08,70.0,2451.0,12741176.0,2509.0,85264000.0,226753306.99040002,339383273.7952,112629966.80479997,Horror,95.0,,,,0,
103,anomalisa,Anomalisa,156,paramount,2015-12-30,86.0,4.0,137926.44,573.0,9189485.341194239,4233566.616465286,6229316.74484995,1995750.1283846637,Animation,90.0,,,['Carter Burwell'],1,/oscar/movies/?id=anomalisa.htm
104,concussion2015,Concussion (2015),75,sony,2015-12-25,84.0,2841.0,10724023.98,2841.0,40203998.3677248,38888451.466738015,56717807.58970406,17829356.122966044,Drama,123.0,['Peter Landesman'],['Ridley Scott'],['James Newton Howard'],0,
105,joy,Joy,52,fox,2015-12-25,84.0,2896.0,17355471.36,2924.0,68921140.05895682,63573255.999553345,113462251.17294854,49888995.173395194,Comedy / Drama,124.0,['David O. Russell'],,['Danny Elfman'],1,/oscar/movies/?id=joy.htm
106,thehatefuleight,The Hateful Eight,54,weinsteincompany,2015-12-25,126.0,100.0,4702889.5200000005,2938.0,71218511.39425537,60945000.1268763,163831896.9715353,102886896.844659,Western,167.0,['Quentin Tarantino'],,['Ennio Morricone'],1,/oscar/movies/?id=thehatefuleight.htm
107,daddyshome,Daddy's Home,22,paramount,2015-12-25,105.0,3271.0,39515007.06,3483.0,57434283.38246401,169326557.1575287,268879315.0204663,99552757.86293763,Comedy,96.0,['Sean Anders'],,,0,
108,pointbreak2015,Point Break (2015),85,warnerbros,2015-12-25,63.0,2910.0,9996257.040000001,2910.0,114868566.76492801,32413748.435380116,144296959.981457,111883211.54607688,Action,113.0,,,['Junkie XL'],0,
109,revenant,The Revenant,13,fox,2015-12-25,154.0,4.0,484051.2,3711.0,155072565.13265282,206806094.975586,600188827.806446,393382732.83085996,Action / Adventure,151.0,['Alejandro González Iñárritu'],,,1,/oscar/movies/?id=revenant.htm
110,nest,Sisters,34,universal,2015-12-18,84.0,2962.0,14201312.1,2978.0,34460570.02947841,98026407.99717605,119407744.58175863,21381336.584582582,Comedy,118.0,['Jason Moore'],,['Christophe Beck'],0,
111,alvin4,Alvin and the Chipmunks: The Road Chip,35,fox,2015-12-18,154.0,3653.0,14572902.18,3705.0,103381710.0884352,96722697.06321572,264981602.69613567,168258905.63291997,Family Comedy,86.0,,,,0,
112,starwars7,Star Wars: The Force Awakens,1,buenavista,2015-12-18,168.0,4134.0,252926008.5,4134.0,351497814.3006796,1054833797.3392011,2318388031.7534094,1263554234.4142084,Sci-Fi Fantasy,136.0,['J.J. Abrams'],,['John Williams'],1,/oscar/movies/?id=starwars7.htm
113,heartofthesea,In the Heart of the Sea,95,warnerbros,2015-12-11,63.0,3103.0,11274433.32,3103.0,114868566.76492801,28177437.361099083,101828459.5809647,73651022.21986562,Drama,121.0,['Ron Howard'],,,0,
114,bigshort,The Big Short,44,paramount,2015-12-11,119.0,8.0,719637.54,2529.0,32163198.694179844,79124025.17637415,148045165.23533094,68921140.05895679,Drama,130.0,['Adam McKay'],,,1,/oscar/movies/?id=bigshort.htm
115,krampus,Krampus,67,universal,2015-12-04,49.0,2902.0,16619191.5,2919.0,17230285.014739204,48115824.29020356,69583766.14331481,21467941.853111252,Horror Comedy,98.0,['Michael Dougherty'],,,0,
